X.Session,ID,Occasion,Camera_ID
1,1 Munkhkhairkhan,1,67_Munkhkhairkhan
1,1 Munkhkhairkhan,1,67_Munkhkhairkhan
1,1 Munkhkhairkhan,1,67_Munkhkhairkhan
1,1 Munkhkhairkhan,1,67_Munkhkhairkhan
1,1 Munkhkhairkhan,1,75_Munkhkhairkhan
1,1 Munkhkhairkhan,1,75_Munkhkhairkhan
1,1 Munkhkhairkhan,1,75_Munkhkhairkhan
1,1 Munkhkhairkhan,1,75_Munkhkhairkhan
1,2 Munkhkhairkhan,1,37_Munkhkhairkhan
1,2 Munkhkhairkhan,1,37_Munkhkhairkhan
1,2 Munkhkhairkhan,1,37_Munkhkhairkhan
1,3 Munkhkhairkhan,1,12_Munkhkhairkhan
1,4 Munkhkhairkhan,1,31_Munkhkhairkhan
1,5 Munkhkhairkhan,1,33_Munkhkhairkhan
1,6 Munkhkhairkhan,1,24_Munkhkhairkhan
1,6 Munkhkhairkhan,1,24_Munkhkhairkhan
1,6 Munkhkhairkhan,1,27_Munkhkhairkhan
1,6 Munkhkhairkhan,1,27_Munkhkhairkhan
1,7 Munkhkhairkhan,1,49_Munkhkhairkhan
1,8 Munkhkhairkhan,1,23_Munkhkhairkhan
1,8 Munkhkhairkhan,1,24_Munkhkhairkhan
1,8 Munkhkhairkhan,1,24_Munkhkhairkhan
1,8 Munkhkhairkhan,1,24_Munkhkhairkhan
1,8 Munkhkhairkhan,1,25_Munkhkhairkhan
1,8 Munkhkhairkhan,1,25_Munkhkhairkhan
1,8 Munkhkhairkhan,1,27_Munkhkhairkhan
1,8 Munkhkhairkhan,1,27_Munkhkhairkhan
1,8 Munkhkhairkhan,1,27_Munkhkhairkhan
1,8 Munkhkhairkhan,1,29_Munkhkhairkhan
1,9 Munkhkhairkhan,1,37_Munkhkhairkhan
1,9 Munkhkhairkhan,1,37_Munkhkhairkhan
1,9 Munkhkhairkhan,1,47_Munkhkhairkhan
1,10 Munkhkhairkhan,1,80_Munkhkhairkhan
1,10 Munkhkhairkhan,1,80_Munkhkhairkhan
1,10 Munkhkhairkhan,1,80_Munkhkhairkhan
1,10 Munkhkhairkhan,1,80_Munkhkhairkhan
1,10 Munkhkhairkhan,1,94_Munkhkhairkhan
