"sim","ghost_prop","mean_pop","mean_inds","mean_dets","mean_sing_dets"
"hp_hd",0,78.81,65.15,280.05,12.17
"hp_hd",1,78.81,71.68,280.05,19.07
"hp_hd",2,78.81,78.18,280.05,26.11
"hp_hd",3,78.81,84.58,280.05,33.01
"hp_ld",0,78.81,55.26,140.45,18.49
"hp_ld",1,78.81,60.78,140.45,25.37
"hp_ld",2,78.81,66.18,140.45,31.84
"hp_ld",3,78.81,71.59,140.45,39.02
"lp_hd",0,22.71,18.84,81.26,3.48
"lp_hd",1,22.71,20.76,81.26,5.52
"lp_hd",2,22.71,22.58,81.26,7.53
"lp_hd",3,22.71,24.41,81.26,9.45
"lp_ld",0,22.71,15.69,40.73,5.22
"lp_ld",1,22.71,17.34,40.73,7.22
"lp_ld",2,22.71,18.86,40.73,9.08
"lp_ld",3,22.71,20.3,40.73,11.01
